Marca temporal	Pais	Comercial encargado	Cliente	Nombre-Correo Gestor Cliente	N° Vacantes	Perfil del Puesto	Tiempo del Servicio	Modalidad de Trabajo	Formación Académica Mínima Requerida	Conocimientos Técnicos Específicos	Años y Tipo de Experiencia	Asignación Equipo	Especificaciones Máquina Portátil	Tarifa	Salario	Observaciones	USUARIO	Estado	Observación Proceso	Número de Candidatos Enviados	Fecha de Envío al Solicitante	Candidato 1	Candidato 2	Candidato 3	Candidato 4	Candidato 5	Candidato 6
2024-07-10 07:46:35	España	Niolimar Sequera	Cliente A	ccarrera@example.org	2	Operador de máquinas de blanqueamiento, teñido y limpieza de tejidos	> 1 Año	Hibrido	Tecnología	"Nesciunt nemo saepe possimus similique error necessitatibus. Omnis rem nesciunt vel.
Consequuntur laboriosam voluptatum ad occaecati corporis. Modi porro vero eveniet veritatis totam quaerat."	5 Años	Samtel	N/A	1750282	$ 2202909 + $492687	Sint libero sit beatae.	Alexander Gabel	CONTRATADO	Eveniet libero illo recusandae.	4	2024-12-12 18:09:12	Tania del Calderon	Micaela Heredia Peñalver	Elpidio Verdejo Araujo	Curro Daza Segovia	Ani Valdés Herranz	Juan Bautista Navarro-Reig
2024-11-12 17:11:00	España	Angelica Garzón	Cliente C	agataleon@example.com	1	Codificador de datos	Más de 1 año	Hibrido	Ingeniería de Sistemas	Nesciunt porro odit. Soluta tenetur eaque nam officia. Ipsam aut fugit vel magnam itaque nobis.	6 meses - 1 año	Cliente	Por definir	5117038	$ 4464308 + $319589	Accusamus quia ab mollitia numquam soluta voluptatem. Qui debitis voluptatum.	Carolina Sabogal	ATENDIDA	Reiciendis ex debitis. Aperiam officia facere.	5	2024-06-13 20:26:16	Felipe Quero Gallego	Pepe Caro	Ulises Barranco Jove	Berta Barberá Merino	Almudena Casas	Nazaret de Ángel
2024-06-10 21:40:12	España	Angelica Garzón	Cliente G	josuetorrens@example.com	3	Panaderos, pasteleros y confiteros	Más de 1 año	100 % Remoto	Ingeniería de Sistemas	Cum ipsum deleniti soluta ad nulla culpa. Aliquam autem quam iusto aspernatur eligendi. Ipsam reiciendis minus iure at eaque eaque molestias.	5 Años	Cliente	Por determinar	1472851	$ 1857041 + $161147	Cum libero iste qui. Dolore at modi voluptatum harum nisi incidunt maxime.	Barbara Correa	ATENDIDA	Ipsa odio mollitia distinctio ab atque modi amet.	9	2024-06-10 13:47:10	Purificación Adoración Paniagua Royo	Eli Conesa Carpio	Felicia Blanco-Hervás	Heriberto Barral Terrón	Josefina Rosell	Macaria Tejada Martin
2024-09-16 06:25:32	España	Alexander Gabel	Cliente G	pcampos@example.org	3	Actor	Más de 1 año	Hibrido	Ingeniería de Sistemas	"Ad aspernatur earum repellat. Sint occaecati commodi facilis voluptate pariatur. Asperiores at exercitationem ducimus enim asperiores.
Vel esse recusandae. Harum ex sit saepe laborum ipsum mollitia."	6 meses - 1 año	Samtel	N/A	2195952	$ 1633350 + $421270	Laborum id ad reiciendis consequatur sunt.	Angelica Garzón	ATENDIDA	Dolor sed repellendus laudantium labore minus.	10	2024-04-16 13:33:42	Clímaco Alba Benito	Quique de Vergara	Che Quintanilla Sáenz	Juanito Talavera Narváez	Dan Pou Álvaro	Adela Rodriguez Elías
2024-12-02 10:29:46	España	Andres Leon	Cliente I	sandra21@example.net	3	Parquetero y colocador de suelos	6 meses	100 % Remoto	Pregrado Ingeniería de Sistemas	"Laborum quasi porro quas fugit similique eligendi aut. Placeat odit quas minima enim a.
Voluptatum sit dignissimos eius. Iusto reiciendis ipsum fugit."	6 meses - 1 año	Samtel	Por definir	8597629	$ 2019296 + $303195	Ut omnis ullam eum. Fugit fugit beatae rem.	Barbara Correa	ATENDIDA	Veritatis non earum accusamus eveniet culpa sint.	5	2024-12-28 05:20:01	Valentina Enríquez-Méndez	Baldomero Arrieta Jódar	Edgardo Paco Llopis Rey	Isaías Delgado	Lupe de Perez	Ale Sebastián Cantero
2024-10-05 01:47:25	Colombia	Claudía Navas	Cliente A	torreamando@example.net	1	Operador de máquinas para elaborar alimentos y productos afines	6 meses	Hibrido	Pregrado Ingeniería de Sistemas	Ad blanditiis consectetur nobis necessitatibus. Ex aperiam qui deserunt neque delectus.	6 meses - 1 año	Cliente	Por definir	6222634	$ 1356758 + $208883	"Enim perspiciatis quae quo fugit similique.
Laborum ullam fugiat fugiat at magnam eligendi."	Angelica Garzón	CERRADA	At eius omnis aliquid.	7	2025-02-15 18:21:59	Victoria del Castrillo	Emilia Huguet-Alberola	Lino Barreda Barranco	Heraclio Laguna Ferrando	Teodosio Fabregat Tovar	Ismael Amor
2025-02-03 22:44:34	Colombia	Claudía Navas	Cliente A	teodorollorente@example.org	4	Director de publicidad y relaciones públicas	Indefinido	100 % Remoto	Tecnología	"Optio iusto quas itaque eum. Sed autem asperiores animi corporis eos quae. Natus officia iure tempora repellat delectus.
Ipsam nisi dolor soluta. Nulla laboriosam cum ut. Sed labore corrupti."	> a 3 años	Cliente	Por determinar	2436089	$ 2024721 + $333818	Itaque consectetur repellat dolorem blanditiis.	Víctor Díaz	CONTRATADO	Odit dolore ducimus eligendi nobis.	5	2024-09-29 20:11:26	Liliana Baños-Zurita	Josefa Aragonés Guzman	Gabriela Recio-Conesa	Maximiliano del Gibert	Jenaro Goñi Moreno	Gabriela del Hierro
2024-06-30 10:59:22	España	Angelica Garzón	Cliente F	maximiliano80@example.net	3	Conductor de vehículos accionados a pedal o a brazo	1 Año	Hibrido	Tecnología	"Possimus error natus delectus maxime officia corporis nemo. Illum tempore ut placeat laudantium nulla iusto.
Aut cum perferendis ad. Facere natus nulla. Quaerat quam deleniti."	5 Años	Cliente	Por determinar	8318822	$ 1086093 + $484640	Expedita quo at reprehenderit totam autem aspernatur.	Carolina Sabogal	CERRADA	Culpa impedit a veritatis dolores.	8	2024-11-06 02:10:37	Gabino Manjón Gual	Basilio Santamaria Cuervo	Bárbara Visitación Medina Lladó	Susanita Guijarro Baró	Julia Rivas-Rojas	Petrona del Castelló
2024-11-23 13:00:32	Colombia	Niolimar Sequera	Cliente O	jose-luis90@example.com	4	Secretario jurídicos	1 Año	100 % Remoto	Tecnología	Corrupti dicta illum vitae error quisquam dignissimos. Nesciunt laborum occaecati assumenda quos. Neque totam porro nihil inventore est voluptatum.	5 Años	Samtel	Por definir	9405578	$ 3707664 + $218313	Rem adipisci enim odio temporibus. Natus doloribus doloribus itaque consequuntur suscipit.	Alicia Perdomo	CONTRATADO	Ad qui eveniet. Eos modi quasi tempore.	1	2024-05-19 10:12:56	Valerio Coello Olmedo	Óscar de Carpio	Genoveva Gracia	Marisol Baeza Larrañaga	Noelia Jaume Moles	Teobaldo Alberola Ramos
2025-02-04 09:25:56	Colombia	Niolimar Sequera	Cliente Q	izaragoza@example.com	1	Locutor de radio	Indefinido	Presencial	Pregrado Ingeniería de Sistemas	Nemo temporibus fugiat nulla perspiciatis fugiat. Delectus quod ipsum praesentium ratione.	> a 3 años	Cliente	Por definir	1534139	$ 1343465 + $273285	Optio molestias expedita aliquam rerum ut maiores. Dolore possimus maiores esse harum ipsam.	Alicia Perdomo	CONTRATADO	Impedit velit ex explicabo.	8	2024-03-31 17:37:04	Ignacio Redondo Acevedo	Aitor Vicens-Franco	Ruperto Rico Yuste	Bernabé Cadenas Gracia	Mauricio de Luz	Encarnación Velázquez Olivera
2025-01-29 13:08:21	Colombia	Víctor Díaz	Cliente M	morcillograciana@example.com	1	Ingeniero civil	Indefinido	Presencial	Pregrado Ingeniería de Sistemas	Dolore explicabo et enim. Cupiditate corrupti dicta fugit dignissimos mollitia tenetur sint.	> a 3 años	Cliente	N/A	7544942	$ 2469690 + $170924	Hic unde saepe cumque eveniet delectus. Modi asperiores non est eveniet quasi itaque iure.	Barbara Correa	CERRADA	Expedita quae expedita excepturi similique.	2	2024-06-03 10:54:10	Marcio Pavón	Prudencia de Castelló	Petrona del Olivé	Che Cabo Torrecilla	Fortunata Lorenzo Roig	Sara Azorin Dominguez
2024-12-11 15:26:33	España	Víctor Díaz	Cliente G	gilbertoescamilla@example.org	3	Labrante	1 Año	Presencial	Pregrado Ingeniería de Sistemas	Repellat veritatis ex cupiditate. Perferendis nam assumenda laudantium. Totam officiis temporibus mollitia ab et quo. Labore perferendis vitae dolorem vel hic.	5 Años	Samtel	Por determinar	3180361	$ 3008972 + $340231	Dolorum totam perferendis sint nemo nam.	Alicia Perdomo	CERRADA	Necessitatibus veniam eum laboriosam rerum.	8	2024-12-07 01:18:52	Luisina Tomas Pelayo	Dolores de Corominas	Ulises Miguel Ángel Landa Uriarte	Eligio Rivero Vizcaíno	Aurelio Aguirre Gomis	Alex Parra-Cerdá
2024-04-06 15:25:22	Colombia	Niolimar Sequera	Softtek	xperalta@example.org	1	Técnico de prótesis médicas y dentales	6 meses	Presencial	Pregrado Ingeniería de Sistemas	"Culpa aperiam sapiente. Tempore harum fugiat veniam. Omnis inventore facilis necessitatibus perferendis veritatis quasi.
Similique consectetur aperiam eaque."	5 Años	Cliente	Por determinar	2326936	$ 2434454 + $143703	Eligendi odio eius. Dolorem animi accusamus accusamus et maxime a earum.	Alexander Gabel	ATENDIDA	Voluptatum nemo in magnam eos officiis.	5	2024-11-29 23:49:22	Isa Pizarro Mas	Martín Pardo Abad	Anastasio Marco Antón	Camila Galván Vélez	Etelvina María Serra Campoy	Silvio de Navarro
2024-10-19 18:25:46	España	Víctor Díaz	Cliente E	guijarroviviana@example.org	5	Ingeniero químico	> 1 Año	Hibrido	Tecnología	Provident fuga eveniet consequatur repellat. Incidunt nihil enim laborum consequuntur dolores.	6 meses - 1 año	Samtel	Por definir	5465930	$ 3476313 + $127061	Tempora alias repudiandae enim aspernatur quis nisi. Commodi a aperiam quas.	Carolina Sabogal	CERRADA	Quaerat eligendi sint.	5	2024-04-25 00:45:09	Benito Arregui Palmer	Nicanor Gomis Cuevas	Cruz Priego Sales	Víctor Iglesia Ramis	Julieta Angelina Roldán Soto	Enrique Castañeda Fuente
2025-02-25 01:43:59	España	Andres Leon	Cliente G	ramonasala@example.net	2	Geólogo	Más de 1 año	Hibrido	Ingeniería de Sistemas	"Temporibus voluptatem vel vel ratione. Fugiat temporibus qui reiciendis repudiandae.
Nesciunt occaecati veritatis suscipit natus doloremque. Voluptates mollitia nostrum sapiente odio ad eveniet."	> a 3 años	Cliente	Por definir	8394295	$ 1997663 + $191010	Nam eaque impedit sunt nulla. Commodi debitis illo veritatis deleniti.	Cristian Carrillo	CERRADA	Cupiditate quos dolor quasi error reprehenderit.	6	2024-12-30 02:17:18	Epifanio Palomar Arco	Narcisa Acuña Arroyo	Jacobo Borrell	Alicia Narváez López	Gisela Ariza Mancebo	Dulce del Moreno
2024-03-23 02:03:42	España	Alexander Gabel	Cliente Q	jose-angel78@example.com	4	Asesor financiero y en inversiones	1 Año	Presencial	Ingeniería de Sistemas	Impedit laudantium impedit veniam quod dignissimos accusantium.	6 meses - 1 año	Cliente	Por definir	4707296	$ 4263519 + $262827	Facere alias eaque blanditiis. Provident dolore minima expedita.	Víctor Díaz	CONTRATADO	Delectus unde est velit.	7	2025-03-08 00:06:14	Adoración Aguilera Aznar	Beatriz Tamara Valenciano Bustos	Guadalupe León Cid	Leticia Alberto Mancebo	Lara Pagès Cid	Paula del Bayón
2024-08-21 01:04:36	Colombia	Angelica Garzón	Cliente C	florentinocornejo@example.net	5	Recepcionista	> 1 Año	Presencial	Ingeniería de Sistemas	"Inventore aliquid doloribus qui vero. Porro suscipit tempora ipsam.
Fugit laborum corporis officiis voluptatem. Aperiam laudantium temporibus adipisci dolore. Culpa accusamus similique rem accusamus."	6 meses - 1 año	Samtel	Por definir	1812204	$ 2320220 + $116857	"Assumenda distinctio omnis eius temporibus ea odit adipisci.
Magnam ex voluptates."	Alicia Perdomo	CONTRATADO	Quidem ipsa eligendi nisi corporis.	10	2024-03-12 19:02:31	Jose Miguel Sierra Ropero	Bienvenida Ricart	Marina Muñoz Chacón	Olalla Alberto Vazquez	Ruperta Navarrete	Nayara Vázquez Rosales
2025-01-05 20:16:43	Colombia	Andres Leon	Cliente G	crescencia81@example.net	1	Médico general	6 meses	Hibrido	Pregrado Ingeniería de Sistemas	Necessitatibus voluptate accusantium optio. Possimus rem vero sed deserunt. Reiciendis modi repudiandae repellendus nemo in sed pariatur.	6 meses - 1 año	Samtel	N/A	7507769	$ 2754474 + $195465	Sed sunt officiis possimus laborum. Cumque rem veniam illo.	Angelica Garzón	CONTRATADO	Facere commodi ipsam assumenda.	6	2024-05-23 14:04:51	Noé Blázquez Bonilla	Yago Saldaña Peral	Marta Pineda Vizcaíno	Demetrio Piquer Asensio	José María Córdoba Llorente	Azahar Varela-Pou
2024-12-15 18:36:07	Colombia	Alexander Gabel	Cliente S	arocajuan@example.com	1	Maquinista de locomotoras	Indefinido	Presencial	Tecnología	"Aliquam aut numquam facere omnis.
Hic mollitia laboriosam repellat. Culpa ullam illo omnis officia aliquam cumque. Vero sit quod non impedit."	5 Años	Cliente	N/A	1256226	$ 4410154 + $314534	Nobis delectus quos maxime odio modi repellendus.	Barbara Correa	CERRADA	Corrupti nulla praesentium officiis.	3	2024-06-08 20:20:51	Josué Solano Patiño	América Carrión Pera	Adelardo Rovira Martín	Pacífica Puig-Amores	Gonzalo Manrique Torralba	Teo Salvador Santos
2024-03-23 10:59:29	España	Claudía Navas	Cliente L	benjamin05@example.org	1	Oficial de cubierta	6 meses	Hibrido	Pregrado Ingeniería de Sistemas	"Reiciendis molestiae delectus autem nam. Corrupti dolorem doloremque perferendis dolor dolore.
Illum deleniti explicabo consectetur. Ullam repellendus nobis unde iusto."	6 meses - 1 año	Samtel	N/A	2387215	$ 4518905 + $343663	Pariatur modi nemo totam. Animi facere dolore ducimus necessitatibus non.	Alexander Gabel	ATENDIDA	Porro corrupti sit.	6	2024-06-05 08:24:03	Ester Lucena Expósito	Espiridión Urrutia Salmerón	Serafina Peral Cifuentes	Nieves Codina-Patiño	Raimundo Gonzalez Arenas	Albano Sanchez Ángel
2024-12-06 12:22:47	Colombia	Claudía Navas	Cliente J	kllorens@example.com	2	Educador para necesidades especiales	Indefinido	Hibrido	Pregrado Ingeniería de Sistemas	Voluptas adipisci corrupti. Error modi tenetur quia.	> a 3 años	Samtel	N/A	7565055	$ 1005513 + $212765	Sed ipsum quidem dignissimos explicabo. Amet facere libero quaerat.	Barbara Correa	CONTRATADO	Pariatur similique hic autem officia.	2	2024-04-24 21:20:36	Yéssica Meléndez	Amparo Torres Agullo	Isabela Páez Torre	Mercedes Folch	Roldán Tirado Salazar	Gil de Carro
2024-06-18 00:03:50	Colombia	Angelica Garzón	Cliente S	mariano83@example.com	1	Controlador de tráfico aéreo	Indefinido	Hibrido	Ingeniería de Sistemas	Quam nisi voluptatum ipsa. Eaque voluptatem consequuntur.	5 Años	Samtel	Por determinar	8009834	$ 4894178 + $358618	Quisquam modi sint animi repellat cupiditate. Temporibus culpa est consequuntur corporis eum.	Barbara Correa	CONTRATADO	Laboriosam non voluptatum.	1	2024-09-17 20:15:04	Gilberto Sevillano Mínguez	Pánfilo Bustamante Ferreras	Ruperta Cloe Guardiola Company	Silvio Calleja Rios	Amaya Marin Adán	Luisa Bustos Conde
2024-08-17 14:12:17	España	Claudía Navas	Cliente F	pcastro@example.net	1	Director de servicios de tecnología de la información y las comunicaciones	1 Año	Hibrido	Ingeniería de Sistemas	Sapiente soluta error facere assumenda aut eligendi. Beatae dignissimos reprehenderit error assumenda.	> a 3 años	Cliente	N/A	3011357	$ 4522417 + $383803	Odio dolores quod sed minima. Dolor suscipit eaque reprehenderit dolorem.	Barbara Correa	CERRADA	Porro itaque nostrum magnam ratione vel.	6	2024-09-11 15:29:40	Eliana Camps-Abad	Lucila Chita Coca Briones	Tania Soria Borja	Erasmo Borja Peláez Adadia	Rafael Amigó	Ofelia Raya Bosch
2024-04-11 04:30:34	Colombia	Víctor Díaz	Cliente F	valdesceferino@example.org	3	Secretario jurídicos	> 1 Año	Hibrido	Tecnología	Dolore sint praesentium exercitationem dolore voluptatem. Itaque eveniet nesciunt modi dolore molestiae. Tempora possimus error cum debitis fugiat.	> a 3 años	Cliente	Por definir	4238270	$ 3691785 + $433979	Veniam nesciunt magni dolores. Necessitatibus repudiandae non fugit. Accusantium debitis quas enim.	Angelica Garzón	CONTRATADO	Ratione eligendi consequatur neque.	1	2024-10-25 13:51:07	Gracia Luciana Montaña Falcó	Odalys Leal Blanca	Francisca del Saura	Jose Ignacio Duque Cal	Toni Peñalver Torrens	Inés Pinilla Dávila
2025-01-23 14:21:29	España	Niolimar Sequera	Cliente Q	ccampo@example.org	2	Recolector de leña	6 meses	Presencial	Ingeniería de Sistemas	"Consequuntur fugiat eaque. Labore laudantium laborum nulla possimus cum dolorem.
Voluptate dolorem nam. Nulla ullam magnam dolore eveniet id.
Eaque atque possimus ipsam sit."	> a 3 años	Cliente	Por definir	3243354	$ 2727727 + $397601	Ea quidem ea porro sint autem. Itaque illo doloribus. Quas et nemo eos id non dolorum.	Víctor Díaz	CONTRATADO	Molestias suscipit consequuntur error.	8	2024-10-03 03:16:44	Charo Jove	Yaiza Vera Prat	Sebastian Marcial Martí Bermejo	Úrsula Verdugo Belmonte	Plácido Navas Tenorio	Jacinto Baeza Guitart
2024-06-19 22:58:16	España	Angelica Garzón	Cliente D	xbernal@example.org	1	Especialista en métodos pedagógicos	Indefinido	100 % Remoto	Tecnología	"Vero voluptate vel assumenda dolorem incidunt. Voluptates ab ex tempora iusto.
Eos accusantium praesentium recusandae dolorem. Quae nemo facere sint."	> a 3 años	Samtel	Por determinar	7742776	$ 1800416 + $207699	Occaecati dicta sequi nostrum. Non pariatur praesentium porro maxime ullam.	Alexander Gabel	ATENDIDA	Omnis dolores vitae nemo. Soluta at quaerat fuga.	6	2024-10-08 08:38:31	Abel de Aller	Antonio Larrea Calleja	Anunciación del Niño	Chus Aragonés-Carbajo	Régulo Lisandro Tudela Villalobos	Evelia Chico-Herrero
2024-04-12 08:40:36	España	Víctor Díaz	Cliente O	aitor26@example.com	4	Empleado encargado de las nóminas	Más de 1 año	Hibrido	Pregrado Ingeniería de Sistemas	Occaecati sunt perspiciatis nobis. Voluptas vel aliquam libero optio. Asperiores nostrum consectetur nemo iure consequatur dolores voluptatem.	> a 3 años	Samtel	N/A	7308769	$ 2613079 + $100474	Quidem inventore quis impedit. Eius neque id culpa ab est. Numquam praesentium aut blanditiis.	Carolina Sabogal	CERRADA	Hic eveniet sint dolores sed iusto ipsum.	9	2025-02-07 20:26:20	Severiano Llopis Mateu	Donato Marciano Roselló Morán	Belen Blanca Ribera Pallarès	Vilma Lladó Robles	Juan Manuel Naranjo Verdejo	Graciano Xavier Estevez Ortega
2024-06-15 18:13:18	España	Andres Leon	Cliente D	borrasazeneth@example.com	4	Empleado de agencia de viajes	Más de 1 año	Presencial	Pregrado Ingeniería de Sistemas	Molestiae adipisci inventore eius mollitia iste aliquid. Ipsum id minus tenetur perspiciatis.	> a 3 años	Cliente	N/A	4527021	$ 4841842 + $304439	Sit qui distinctio libero eum veritatis. Dolore occaecati maxime omnis quis.	Carolina Sabogal	CONTRATADO	Quae maxime commodi.	1	2024-08-06 08:47:14	Viviana Gaya Medina	Brunilda Carrasco Antón	Bibiana Cano Alvarez	Benita Nieves Verdugo Gutierrez	Odalys Tapia Luís	Apolinar Almazán Lucas
2024-09-15 20:08:52	España	Niolimar Sequera	Cliente Q	pozueloruy@example.org	5	Juez	1 Año	Hibrido	Tecnología	"Blanditiis exercitationem aut autem perferendis temporibus. Quisquam eos ex quasi hic tempore.
Recusandae expedita cupiditate eum cumque sed ipsum. Dolorum ut asperiores. Est aliquid quasi nostrum."	6 meses - 1 año	Samtel	N/A	5987382	$ 4353519 + $116037	Et sit sunt iste dolorum qui corporis. Ipsum architecto iusto omnis amet.	Angelica Garzón	ATENDIDA	Earum eveniet tenetur voluptates deleniti saepe.	5	2024-08-08 02:13:32	Concha Marquez-Mateos	Adriana Girón Samper	Ruth de Barriga	Aitor Álvaro Torres Solano	Valentín Tovar Osorio	Florencia Roman Prat
2024-10-11 14:55:37	España	Alexander Gabel	Cliente Q	fajardonoemi@example.net	3	Meteorólogo	6 meses	100 % Remoto	Ingeniería de Sistemas	Porro veniam earum qui aliquam at eaque. Quasi harum corporis suscipit.	> a 3 años	Samtel	Por determinar	1800807	$ 2002482 + $234098	Id tenetur ducimus error. Distinctio deleniti sit eligendi blanditiis corporis.	Barbara Correa	CONTRATADO	Ipsa doloribus rerum ex.	7	2025-03-07 23:09:37	Venceslás del Mancebo	Benjamín Manzano Sans	Perlita del Jordá	Belen Rafaela Ocaña Quirós	Rosendo Murcia Pinilla	Alba Roselló-Mena
2025-01-27 00:01:25	España	Niolimar Sequera	Cliente L	eutimio92@example.com	1	Conductor de taxis	> 1 Año	100 % Remoto	Ingeniería de Sistemas	Quae mollitia corporis accusantium. Doloribus tempore eligendi deserunt earum. A inventore vitae necessitatibus quas ipsa sapiente similique.	6 meses - 1 año	Samtel	Por determinar	7362100	$ 1278188 + $355880	Ullam ab sit possimus suscipit nobis ipsum. Sit veniam quisquam a assumenda.	Barbara Correa	CONTRATADO	Inventore iure ipsam.	9	2024-05-10 06:28:46	Teófilo del Montenegro	Melchor Alemany Portillo	Sigfrido Chucho Gras Sáez	María Dolores Rodriguez Pinilla	Manuelita Peralta Carranza	Guadalupe Millán
2025-02-18 07:26:21	España	Claudía Navas	Banco Falabella	hrivas@example.org	5	Guardián de prisión	6 meses	100 % Remoto	Tecnología	At in nulla aut repellendus sequi. Assumenda mollitia nostrum.	6 meses - 1 año	Samtel	Por definir	9252279	$ 4453220 + $297483	Placeat labore cupiditate quaerat reprehenderit consequatur.	Carolina Sabogal	CONTRATADO	Possimus modi temporibus minus ea.	1	2025-01-29 11:24:57	Jorge Baena Baró	Salomón Pavón Guardia	Octavia Asensio Jaume	Rosalva Belmonte Mendizábal	Salud del Sosa	Victor Manuel Domínguez Chico
2024-04-07 12:56:53	Colombia	Alexander Gabel	Cliente A	jimenallopis@example.com	3	Inspector de la salud laboral	Más de 1 año	Hibrido	Tecnología	Quia maiores eum enim blanditiis aperiam aut. Inventore at aliquam quae asperiores.	5 Años	Samtel	Por determinar	9511097	$ 3005860 + $113144	Impedit magni ut cum. Molestias nam repellat cum at corporis.	Alexander Gabel	ATENDIDA	Eligendi aut quo animi nulla nemo.	3	2024-08-27 02:01:35	Ale Avilés Pacheco	Albino Juárez Calleja	Maximiano Ramón Pomares	Enrique Murillo Manso	Alejandro Herranz	María Fernanda Pons Marí
2024-03-27 14:43:49	España	Andres Leon	Cliente G	daroca@example.com	4	Profesional de nivel medio del derecho y servicios legales	1 Año	100 % Remoto	Ingeniería de Sistemas	Eos esse dolorem commodi corrupti perspiciatis ratione. Iste quia vel eos dolore magnam nobis.	6 meses - 1 año	Samtel	N/A	4090230	$ 2453738 + $132067	Fugit doloribus nam fugit. Quod sequi molestias omnis natus delectus reprehenderit.	Angelica Garzón	CERRADA	Doloremque libero quae id delectus ex.	9	2024-11-06 13:48:48	Cecilia Iñiguez Fortuny	Violeta Río Gutiérrez	Demetrio Valero Anaya	Charo de Verdú	Marcial Vilar Baró	Augusto Báez
2024-08-22 15:53:30	Colombia	Víctor Díaz	Cliente I	cazorlaolimpia@example.org	4	Carpintero	Más de 1 año	Presencial	Pregrado Ingeniería de Sistemas	Laborum dicta minus praesentium dolores optio ducimus fuga. In cumque accusantium occaecati maxime. Dignissimos assumenda earum reprehenderit vero iusto dolore.	> a 3 años	Cliente	Por definir	4477735	$ 1312874 + $339526	Sunt voluptatem vel iure. Voluptas vel ad dolores fugiat in.	Víctor Díaz	ATENDIDA	Laborum totam eaque explicabo iure.	4	2024-12-11 23:51:03	Gloria Violeta Oliver Salazar	Domingo Peralta Godoy	Demetrio Garay Nevado	Hilario Gómez	Amor Roman Puente	Remedios de Cortina
2024-11-22 05:08:59	Colombia	Alexander Gabel	Mi Banco	teclatorrents@example.net	4	Moldeador y machero	Indefinido	Hibrido	Tecnología	Temporibus facilis a. Ut molestias voluptate vero exercitationem. Iusto blanditiis eum quia.	> a 3 años	Cliente	N/A	8882842	$ 1158781 + $121398	Saepe ab molestiae. Culpa labore quia amet ipsam odio.	Alicia Perdomo	CERRADA	Quas nam nisi culpa numquam ex modi.	1	2024-05-11 12:18:25	Che Leiva Hernández	Rebeca Pizarro	Jose Miguel Sanmiguel Boada	Remedios Castells Collado	Ángeles Gordillo Canet	Alicia Soria Cabañas
2025-01-16 08:36:58	Colombia	Claudía Navas	Cliente O	rinconclarisa@example.net	3	Operador de instalaciones de procesamiento de la madera	1 Año	Hibrido	Pregrado Ingeniería de Sistemas	Nobis praesentium aliquam rerum aspernatur odit distinctio. Doloribus inventore quo perferendis consectetur tenetur.	5 Años	Samtel	Por determinar	1274106	$ 4393846 + $400517	Eos alias iusto temporibus delectus quibusdam. Rerum explicabo quaerat non mollitia ab.	Carolina Sabogal	CERRADA	Praesentium voluptas dolor.	8	2025-01-23 21:38:23	Salomón Sarabia-Fuentes	Nazario Plana	Josué Vall Cases	Vera Bejarano Cañizares	Lisandro Martinez Almeida	Iván Marqués Tejera
2025-01-10 00:48:00	España	Claudía Navas	Cliente F	nando34@example.net	3	Clasificador de productos	> 1 Año	Hibrido	Pregrado Ingeniería de Sistemas	Fuga fuga consequatur accusantium suscipit odit. Veritatis delectus tempora iure velit quibusdam enim nam.	5 Años	Samtel	Por determinar	1675593	$ 2979832 + $324276	Nemo cum eligendi repellat sapiente.	Carolina Sabogal	CONTRATADO	A temporibus vero ad enim. Minima ex quod.	6	2024-10-30 21:57:10	Josefina Prudencia Saldaña Nogueira	Apolonia Puig Marín	Otilia Raquel Sanchez Monreal	Evaristo Olivé Benito	Noé Sedano Barrena	Cloe de Cortina
2024-03-19 08:00:03	España	Niolimar Sequera	Mi Banco	pbarcena@example.org	4	Director de empresas de abastecimiento, distribución y afines	6 meses	100 % Remoto	Pregrado Ingeniería de Sistemas	"Earum eaque voluptatum impedit hic beatae.
Perspiciatis ratione odio odit maxime suscipit. Impedit reiciendis numquam maiores veniam deserunt."	> a 3 años	Cliente	Por definir	7496490	$ 1826669 + $461904	Non veniam dolorem vero velit. Sint ipsum laboriosam consequuntur est.	Barbara Correa	CONTRATADO	Sed omnis saepe itaque maiores.	6	2025-02-02 17:03:59	Flavia Alemán Valbuena	Maricruz Carmina Maza Aller	Soraya Clotilde Berenguer Alemán	Modesto Santos	Duilio Guillén Corominas	Verónica Mármol Vega
2024-04-14 00:31:12	España	Alexander Gabel	Cliente M	herviaalondra@example.com	3	Operador de plantas y máquinas de productos químicos	6 meses	100 % Remoto	Ingeniería de Sistemas	Dolore laboriosam pariatur quia itaque rem dolor dolor. Iusto unde atque cupiditate quam dicta earum sunt. Quibusdam necessitatibus deserunt nemo ipsam alias consequuntur.	6 meses - 1 año	Cliente	N/A	4709797	$ 4753932 + $323869	Corrupti similique alias id. Accusamus quibusdam numquam dolores alias odio hic itaque.	Cristian Carrillo	CONTRATADO	Eos sit quod.	9	2024-10-10 07:13:05	Valeria Saavedra Cerezo	Luz Torrijos Molins	Alicia de Calleja	Sofía Lucena Feliu	Guillermo Barrera Castañeda	Adela Villalonga Barba
